show_id,type,title,director,main_actor,country,date_added,release_year,rating,duration,genre,description
1,Movie,Dick Johnson Is Dead,Kirsten Johnson,Unknown,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
2,TV Show,Blood & Water,Unspecified,Ama Qamata,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
3,TV Show,Ganglands,Julien Leclercq,Sami Bouajila,United States,"September 24, 2021",2021,TV-MA,1 Season,Crime TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
4,TV Show,Jailbirds New Orleans,Unspecified,Unknown,United States,"September 24, 2021",2021,TV-MA,1 Season,Docuseries,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series."
5,TV Show,Kota Factory,Unspecified,Mayur More,India,"September 24, 2021",2021,TV-MA,2 Seasons,International TV Shows,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
6,TV Show,Midnight Mass,Mike Flanagan,Kate Siegel,United States,"September 24, 2021",2021,TV-MA,1 Season,TV Dramas,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
7,Movie,My Little Pony: A New Generation,Robert Cullen,Vanessa Hudgens,United States,"September 24, 2021",2021,PG,91 min,Children & Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it."
8,Movie,Sankofa,Haile Gerima,Kofi Ghanaba,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,125 min,Dramas,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
9,TV Show,The Great British Baking Show,Andy Devonshire,Mel Giedroyc,United Kingdom,"September 24, 2021",2021,TV-14,9 Seasons,British TV Shows,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
10,Movie,The Starling,Theodore Melfi,Melissa McCarthy,United States,"September 24, 2021",2021,PG-13,104 min,Comedies,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
11,TV Show,"Vendetta: Truth, Lies and The Mafia",Unspecified,Unknown,United States,"September 24, 2021",2021,TV-MA,1 Season,Crime TV Shows,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?"
12,TV Show,Bangkok Breaking,Kongkiat Komesiri,Sukollawat Kanarot,United States,"September 23, 2021",2021,TV-MA,1 Season,Crime TV Shows,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy."
13,Movie,Je Suis Karl,Christian Schwochow,Luna Wedler,"Germany, Czech Republic","September 23, 2021",2021,TV-MA,127 min,Dramas,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Klara Castanho,United States,"September 22, 2021",2021,TV-PG,91 min,Children & Family Movies,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."
15,TV Show,Crime Stories: India Detectives,Unspecified,Unknown,United States,"September 22, 2021",2021,TV-MA,1 Season,British TV Shows,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
16,TV Show,Dear White People,Unspecified,Logan Browning,United States,"September 22, 2021",2021,TV-MA,4 Seasons,TV Comedies,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks."
17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Pedro de Echave García,Unknown,United States,"September 22, 2021",2020,TV-MA,67 min,Documentaries,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
18,TV Show,Falsa identidad,Unspecified,Luis Ernesto Franco,Mexico,"September 22, 2021",2020,TV-MA,2 Seasons,Crime TV Shows,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
19,Movie,Intrusion,Adam Salky,Freida Pinto,United States,"September 22, 2021",2021,TV-14,94 min,Thrillers,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
